页序,词条,繁体异体,拼音,字级,笔画数,释义
576/R-07,役,,yì,一级,7,❶战事：战～。//❷指需要出劳力的事：劳～。//❸兵役：现～|预备～。//❹使唤（〖连〗–使）：奴～。//❺旧时称被役使的人：杂～|差（chāi）～。
576/R-08,疫,,yì,一级,9,瘟疫，流行性急性传染病：～情|防～|鼠～。
576/R-09,毅,,yì,一级,15,果决，志向坚定而不动摇：刚～|～力|～然决然。
576/R-10,译,（譯）,yì,一级,7,把一种语言文字依照原义改变成另一种语言文字：翻～|～文。也指把代表语言文字的符号、数码转换成相应的语言文字：～电员|破～。
576/R-11,峄,（嶧）,yì,二级,8,峄山，山名，在山东省。峄县，旧县名，在山东省枣庄。
577/L-01,怿,（懌）,yì,二级,8,欢喜。
577/L-02,驿,（驛）,yì,二级,8,古代传递政府文书的人中途休息的地方：～站。
577/L-03,绎,（繹）,yì,一级,8,寻究，理出头绪：寻～|演～。
577/L-04,枍,,yì,三级,8,古书上说的一种树。
577/L-05,易,,yì,一级,8,❶容易，不费力：通俗～懂|轻而～举。//❷平和：平～近人。//❸改变：移风～俗。//❹交易，交换：以物～物。//❺轻视。//❻芟治草木：～其田畴。
577/L-06,埸,,yì,二级,11,❶田界。//❷边境：疆～。
577/L-07,蜴,,yì,二级,14,见“蜥”字条“蜥蜴”（xī–）。
577/L-08,佾,,yì,二级,8,古时乐舞的行列。
577/L-09,诣,（詣）,yì,二级,8,到，特指到尊长那里去：～前请教。//［造诣］学问或技术所达到的程度：他医学～很深。
577/L-10,㹭,,yì,,9,［林㹭］即猞猁（shēlì）。
577/L-11,羿,,yì,二级,13,❶后裔，后代子孙。//❷边，边远的地方：四～。
577/L-12,翊,,yì,二级,11,辅佐，帮助：～戴（辅佐拥戴）。
577/R-01,翌,,yì,二级,11,次于今日、今年的：～日|～年|～晨。
577/R-02,翳,（②*瞖）,yì,二级,17,❶遮盖：～蔽|树林荫～。//❷（–子）眼角膜上所生障蔽视线的白斑。
577/R-03,翼,,yì,一级,17,❶翅膀或像翅膀的东西：鸟～|蝉～|机～。//❷左右两侧中的一侧：侧～|左～|右～。//❸帮助，辅佐。//❹星宿名，二十八宿之一。
577/R-04,益,,yì,一级,10,❶增加：进～|延年～寿。//❷利，有好处的（〖连〗利–）：～处|～虫|良师～友。//❸更（gèng）：日～壮大|精～求精|多多～善。
577/R-05,嗌,,yì,二级,13,咽喉。//另见ài。
577/R-06,溢,,yì,一级,13,❶充满而流出来：河水四～|～美（过分夸奖）。引超出：～出此数。//❷古同“镒”。
577/R-07,缢,（縊）,yì,二级,13,用绳子勒死：～杀|自～。
577/R-08,镒,（鎰）,yì,二级,15,古代重量单位，一镒为二十两，一说是二十四两。
577/R-09,鹢,（鷁）,yì,三级,15,❶古书上说的一种水鸟。//❷船头有鹢的船，后泛指船。
577/R-10,螠,,yì,二级,15,无脊椎动物，雌雄异体，身体呈圆筒状，不分节，生活在海底泥沙中。
578/L-01,谊,（誼）,yì,一级,10,交情：友～|深情厚～。
578/L-02,勚,（勩）,yì,三级,11,❶劳苦。//❷器物逐渐磨损，失去棱角、锋芒等：螺丝扣～了。
578/L-03,逸,,yì,一级,11,❶跑，逃跑：逃～。//❷散失（〖连〗亡–）：～书（已经散失的古书）。//❸安闲，安乐（〖连〗安–）：一劳永～|劳～结合。//❹避世隐居：～民|隐～。//❺超过一般：～群绝伦。
578/L-04,肄,,yì,二级,13,学习：～业（指没能毕业或尚未毕业）。
578/L-05,意,,yì,一级,13,❶意思，心思：来～|词不达～。//［意见］见解，对事物的看法。//❷心愿，愿望：中（zhòng）～|任～|好～。//❸料想：～外|出其不～。//❹指意大利。
578/L-06,薏,,yì,二级,16,［薏苡］（–yǐ）草本植物，茎叶略像高粱，果实椭圆形，坚硬而光滑，种仁白色，叫薏仁米，可以吃，又可入药。
578/L-07,𫄷,（繶）,yì,三级,16,古代鞋上装饰用的圆丝带。
578/L-08,臆,（**肊）,yì,二级,17,❶胸：胸～（指心里的话或想法）。//❷主观的，缺乏客观证据的：～见|～说|～造|～测|～断。
578/R-01,镱,（鐿）,yì,三级,18,金属元素，符号Yb，原子序数70。银白色，质软。可用来制特种合金，也用作激光材料等。
578/R-02,癔,,yì,二级,18,［癔症］精神病的一种，又叫歇斯底里，发病时喜怒无常，感觉过敏，严重时手足或全身痉挛，说胡话，可出现类似昏迷的状态。
578/R-03,蓺,,yì,,14,种植：树～五谷|～菊。
578/R-04,廙,,yì,三级,14,［廙廙］恭敬的样子。
578/R-05,潩,,yì,三级,14,清潩河，水名，在河南省中部，颍河支流。
578/R-06,瘗,（瘞）,yì,三级,14,掩埋，埋葬。
578/R-07,嫕,,yì,三级,14,性情和善可亲：婉～（和婉柔顺）。
578/R-08,鹝,（鷊）,yì,三级,15,古书中说的一种水鸟。
578/R-09,𬟁,（虉）,yì,三级,18,𬟁草，草本植物，叶条形，嫩时可用作饲料，茎秆可用来编织器物。
